,Package_Type,Duration_Days,Duration_Nights,Starting_Location,Destination_Cities,Destination_Cities_Count,Included_Activities,Hotel_Ratings,Original_Price_INR,Deal_Price_INR,Discount_Percentage
339,Kerala Houseboat Trip Package,5,4,Munnar,"Munnar ,Thekkady ,Alleppey ",3,Adventure Nature Sightseeing,3,23946,20400,15
340,Lovely Goa Family Tour,4,3,Calangute,Calangute ,1,Unlimited  Fun Historical Beaches Nature Cruise  ,3,12921,11500,11
341,Magnificent Kasol Tour Package,4,3,Kasol,"Kasol ,Kheerganga ",2,Kheerganga trek Adventure Kasol Hill station Natureshoppinglandscape Budget,2,13187,12000,9
342,Incredible Ladakh Honeymoon,7,6,Leh,"Leh ,Nubra Valley ,Pangong ",3,Adventure Sightseeing Nature Road  Trip Hill station ,2,28089,24999,11
343,Thrilling haramshala Tour Package,4,3,Dharamshala,Dharamshala ,1,Ideal for families Hill station Ideal for couples Adventure Palampur Nature ,3,16484,15000,9
344,An Invigorating Madurai Sightseeing Tour Package,6,5,Madurai,"Madurai ,Rameshwaram ,Kanyakumari ,Kovalam ",4,Nature Historical Religiousshopping Cultural Budget,3,21796,19834,9
345,elightful Kodaikanal Sightseeing Tour Package,3,2,Kodaikanal,Kodaikanal ,1,Nature Adventure Hill  Station Waterfalls Historical ,2,16758,15250,9
346,Exotic Goa Tour,5,4,Goa,Goa ,1,Adventure  Activities Local sightseeing Religious  Tour Cruises ,5,21098,19199,9
347,"Ideal Sikkim, Gangtok, arjeeling Honeymoon",8,7,Gangtok,"Gangtok ,Lachen ,Lachung ,Darjeeling ",4,Adventure Hill station Sightseeing Himalayas Wildlife Nature ,2,60983,54275,11
348,Best Selling Mahabaleshwar Sightseeing Encounters,3,2,Mahabaleshwar,Mahabaleshwar ,1,Sightseeing Adventure Shopping Nature Local market Hill station ,3,10879,9900,9
349,Splendid Ooty Tour Package,3,2,Ooty,Ooty ,1,Sightseeing Hill station City  Tour Lakes Nature ,4,14076,12809,9
350,A Blissful Goa Honeymoon,5,4,Goa,Goa ,1,Picturesque sights Water  Activities Sightseeing Best sellers Beach ,3,15164,13799,9
351,Summer Special Uttarakhand Honeymoon,6,5,Nainital,"Nainital ,Ranikhet ,Jim Corbett ",3,Naini  Lake Adventure Local sightseeing Nature Wildlife ,3,31730,28874,9
352,Kochi Family Trip: Incredible Fun,2,1,Cochin,Cochin ,1,Kochi Nature Sightseeing Adventure Hill station Historical ,3,7734,7038,9
353,Amazing Goa Family Tour: Forts & Adventure,4,3,Goa,Goa ,1,Calangute  Beach Adventure Anjuna  Beach Nature ,2,19756,16500,16
354,Romantic Mount Abu Honeymoon,4,3,Udaipur,"Udaipur ,Mount Abu ",2,Adventure Sightseeing Nature Hills Hill station Water  ,3,11235,9999,11
355,Kerala Honeymoon,6,5,Munnar,"Munnar ,Thekkady ,Kumarakom ,Kochi ",4,Hot  Pick Cruises Romantic  Tour Hill station ,3,34720,29760,14
356,Kashmir Tour Package,3,2,Srinagar,Srinagar ,1,Shalimar  Bagh Nature Dal  Lake Adventure ,3,13441,12500,7
357,Astonishing Alleppey Family Tour Package,2,1,Alleppey,Alleppey ,1,Houseboat Family Historical Religious Hill station Adventure ,3,7696,7003,9
358,Spell-Binding Mussoorie Tour Package,3,2,Mussoorie,Mussoorie ,1,Nature Hill station Budget,3,16770,15093,10
359,Leh Ladakh   Trip Package,6,5,Leh,"Leh ,Nubra Valley ,Hunder ",3,Shanti  Stupa Adventure Magnetic  Hill Nature ,3,27173,24999,8
360,Captivating Kovalam Honeymoon,3,2,Kovalam,Kovalam ,1,Romantic Adventure Nature Beach Unlimited  Fun ,3,13227,11640,12
361,Fantastical Rajasthan Honeymoon,4,3,Jodhpur,"Jodhpur ,Jaisalmer ",2,Folk  Music Adventure Shopping Nature Leisure  ,4,13735,12499,9
362,Mesmerizing Sikkim & arjeeling Family Tour Package,6,5,Gangtok,"Gangtok ,Pelling ,Darjeeling ",3,Family time Historical Waterfalls Adventure Nature Himalayas ,3,55399,50782,8
363,Offbeat Uttarakhand Tour,4,3,Nainital,"Nainital ,Mukteshwar ",2,Mukteshwar temple Sightseeing Nature Religious Hill station Wildlife ,3,17308,15750,9
364,Romantic Lansdowne Honeymoon,2,1,Lansdowne,Lansdowne ,1,Gandhi  Chowk Shatabdi  Dwar Nature Romantic ,4,9807,8924,9
365,Exquisite Andaman Honeymoon,8,7,Port Blair,"Port Blair ,Havelock ,Neil Island ",3,Nature Water  Activities Adventure Sightseeing Snorkeling ,2,30208,26310,13
366,Alluring Himachal Tour Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ,Khajjiar ",5,Nature Adventure Hill station Water  Activities Waterfall ,4,36484,33200,9
367,Gorgeous Gir Tour Package,3,2,Sasan Gir,"Sasan Gir ,Gir ",2,Jungle  Safari Adventure Museum Wildlife Sightseeing ,3,11648,10600,9
368,Amazing Agra Tour Package,4,3,Agra,"Agra ,New Delhi ",2,Sightseeing Historical  Sites Historical Religious sites Shopping ,3,8791,8000,9
369,"Refreshing Gangtok, Kalimpong & arjeeling Tour Package",7,6,Gangtok,"Gangtok ,Kalimpong ,Darjeeling ",3,Nature Adventure Himalayas Hill station Road  Triplandscape ,3,62409,56982,9
370,Engaging Leh Tour,6,5,Leh,"Leh ,Hunder ",2,Road  Trip Nature Monasteries Adventure Magnetic  ,3,46153,41999,9
371,Rejuvenating Rameshwaram Tour,5,4,Madurai,"Madurai ,Rameshwaram ,Kanyakumari ",3,Temples Nature Shopping Wildlife Choice based activities Adventure ,2,16758,15250,9
372,A Mesmerizing Tawang Tour Package,7,6,Bhalukpong,"Bhalukpong ,Dirang ,Tawang ,Tezpur ",4,Mountains  Hill station Nature Bomdila Water  Activities ,3,32417,29499,9
373,An Amazing Kasol And Kheerganga Tour Package,5,4,Kasol,"Kasol ,Kheerganga ,Tosh ",3,Road  Trip Adventure Shopping Nature Local market ,3,17033,15500,9
374,Rejuvenating Summer Special Shimla Tour Package,4,3,Shimla,Shimla ,1,Naldehra Adventure Kufri Nature Mall  Road ,3,16484,15000,9
375,ostalgic Kochi Honeymoon,5,4,Cochin,"Cochin ,Munnar ,Guruvayur ",3,Airport  Transfers Religious Nature Sightseeing Historicalwaterfall ,3,15468,14076,9
376,Lovable Gangtok Family Package,3,2,Gangtok,Gangtok ,1,Sightseeing Adventure Himalayas Nature Hill station Hillsshopping ,2,25044,22289,11
377,Enjoyable Tamil adu Tour Package,3,2,Ooty,Ooty ,1,Ooty Adventure Simâs  Park Nature Lamâs  ,2,12736,11590,9
378,Best Selling ainital Getaways For A Refreshing Break,2,1,Nainital,Nainital ,1,Lake Nature Himalaya  Darshan Adventure Cave  ,3,6702,6300,6
379,A Fantabulous Cherrapunji Trip Package,3,2,Cherrapunjee,Cherrapunjee ,1,Cherrapunji Nature Sightseeing  Tour Adventure Caves ,3,12637,11500,9
380,Captivating elhi Tour Package,4,3,Agra,"Agra ,New Delhi ",2,Historical Taj  Mahal Lotus  Templetemples Qutub  ,3,8791,8000,9
381,Soothing Srinagar Honeymoon,2,1,Srinagar,Srinagar ,1,Sightseeing Himalayas Hill station Shikara  Ride Romantic ,4,19888,17700,11
382,Fascinating Goa Tour Package,5,4,Goa,Goa ,1,Beaches Adventure Watersports Nature Shopping Beach ,3,17582,16000,9
383,Stunning Rajasthan Honeymoon,9,8,Jaipur,"Jaipur ,Bikaner ,Jaisalmer ,Jodhpur ,Udaipur ",5,Forts Adventure Historical  Sightseeing Nature Camel  ,3,78160,67999,13
384,Weekend In Kerala-Vythiri With Tree House Stay,4,3,Wayanad,Wayanad ,1,Treehouse stay River  Walk Nature walks Hill station Adventure ,3,21215,20154,5
385,Mahabaleshwar Panchgani Tour Package,4,3,Mahabaleshwar,Mahabaleshwar ,1,Forts Adventure Historic sightseeing Nature Local sightseeing Historical ,4,23626,21500,9
386,Amazing Alleppey Houseboat Tour Package,2,1,Alleppey,Alleppey ,1,Houseboat Adventure Backwaters Nature Boating Budget,3,8211,7390,10
387,"Vibrant Sikkim, Gangtok, arjeeling Honeymoon",10,9,Gangtok,"Gangtok ,Lachen ,Lachung ,Pelling ,Darjeeling ",5,Charming hillscapes Wildlife Unlimited adventure Adventure Hill  Station ,2,104889,92302,12
388,Best   Chikmagalur Tour Package,3,2,Chikmagalur,Chikmagalur ,1,Waterfalls Lakes Trekking Adventure Hill station Budget,3,15151,14090,7
389,Alluring Alleppey Tour Package,3,2,Alleppey,Alleppey ,1,Houseboat Nature Cruise Cruises Leisure  Day ,3,10774,9804,9
390,Adventurous Sariska Tour Package,3,2,sariska,sariska ,1,Sariska  Tiger  Reserve Adventure Morning safari Wildlife ,3,5354,4500,16
391,Adventurous Ranthambore Tour Package,3,2,Ranthambore,Ranthambore ,1,Adventure Morning safari Wildlife Nature Sambar deer Blue  ,3,7734,6500,16
392,Adventurous haramshala Sightseeing Tour Package,4,3,Dharamshala,Dharamshala ,1,Palampur Nature Hill station Leisure  Time Adventure ,3,13736,12500,9
393,Magical Meghalaya Tour Package,3,2,Shillong,Shillong ,1,Sightseeing Religious Waterfallslandscape Mawlynnong Hill station Budget,3,14366,12498,13
394,Heavenly Himachal Honeymoon,8,7,Shimla,"Shimla ,Manali ,Dharamsala ,Dalhousie ",4,Sightseeing Historical Paragliding Adventure Rafting Nature ,3,25274,22999,9
395,Heavenly Kumarakom Alleppey Tour Package,3,2,Kumarakom,"Kumarakom ,Alleppey ,Kochi ",3,Adventure Cruises Nature Unlimited  Funwaterfall City  ,3,11321,10076,11
396,Exhilarating Goa Tour,4,3,Goa,Goa ,1,Churches Adventure Panjim  Market Water  Activities ,4,15384,13999,9
397,"Thrilling Gangtok, Pelling, arjeeling Family Trip",5,4,Gangtok,"Gangtok ,Pelling ,Darjeeling ",3,Tsomgo  Lake Nature Darap  Village Adventure ,2,54981,50583,8
398,Stunning Leh Tour,8,7,Leh,"Leh ,Nubra Valley ,Pangong ",3,Sightseeing Adventure Monasteries Hill station Camping Historical ,3,32966,29999,9
399,A Pleasant Tour In Munnar,3,2,Munnar,Munnar ,1,Sightseeing Water  Activities Adventure  Activities Mattupetty  ,3,11243,10231,9
400,Ultra Romantic Rann Of Kutch Tour Package,5,4,Bhuj,"Bhuj ,Kutch ",2,Village tours Adventure Shopping Nature Scenic views Best sellers ,3,17692,16100,9
401,Memorable And Romantic Coorg Honeymoon,4,3,Coorg,"Coorg ,Mysore ",2,Sightseeing Adventure Waterfalls Nature Shopping Hill station ,2,15417,14029,9
402,A Tour Amid ature In Kodaikanal,7,6,Coorg,"Coorg ,Ooty ,Kodaikanal ",3,Sightseeing Adventure Dubare  Reserve  Forest Nature ,3,29677,27006,9
403,Romantic Coorg Honeymoon,3,2,Coorg,Coorg ,1,Coorg  Honeymoon Adventure Romantic getaway Historical Dubare  ,3,18098,16469,9
404,Mesmerizing Mount Abu Tour Package,6,5,Jaipur,"Jaipur ,Udaipur ,Mount Abu ",3,Historical  Sites Religious Religious sites Hill station Nature ,3,51111,46000,10
405,Surreal alhousie Tour Package,3,2,Dalhousie,Dalhousie ,1,Pathankot Nature Family  Trip Hill station Kalatop ,3,24685,22463,9
406,Best Selling Hyderabad Tours for Refreshing Holidays,3,2,Hyderabad,Hyderabad ,1,Museum Adventure Forts Naturelake visit Monuments Film studiostemplescuisine  ,3,15484,14090,9
407,Soulful Char ham Yatra Package,12,11,Haridwar,"Haridwar ,Barkot ,Uttarkashi ,Sitapur ,Badrinath ,Srinagar Garhwal ",6,Sightseeing Trekking Temples  Tour Hill station Hot  ,2,25108,23099,8
408,Alluring Agra Sightseeing Tour Package,3,2,Agra,Agra ,1,Scenic  Landscapes Adventure Taj  Mahal Nature ,3,5494,5000,9
409,Remarkable Kasauli Tour Package,2,1,Kasauli,Kasauli ,1,Sightseeing Nature Ideal  For  Family Budget,3,16434,15119,8
410,elightful ainital Mukteshwar Family Package,4,3,Nainital,"Nainital ,Mukteshwar ",2,Ideal for families Adventure Mukteshwar temple Nature Bhimtal Hill station ,3,14423,13125,9
411,elightful Athirapally Honeymoon,2,1,Athirapally,Athirapally ,1,Sightseeing Religious Waterfalls Nature Hanging bridge Romantic ,3,7357,6695,9
412,Lovely elhi Tour Package,4,3,Agra,"Agra ,New Delhi ",2,Ideal  For  Family Religious Taj  Mahal ,3,10989,10000,9
413,o ham Yatra Package,7,6,Haridwar,"Haridwar ,Barkot ,Uttarkashi ",3,Temples  Tour Sightseeing Trekking Hot  Springs ,2,15000,13650,9
414,Exotic Ladakh Honeymoon,6,5,Leh,"Leh ,Nubra Valley ",2,Adventure Mountain  Desert Nature Roadtrip Romantic ,2,21110,18999,10
415,Majestic Jaisalmer Honeymoon,4,3,Jodhpur,"Jodhpur ,Jaisalmer ",2,Camel  Safari Adventure Camping Nature Historic sightseeing ,3,19021,17499,8
416,Invigorating Himachal Tour Package,8,7,Shimla,"Shimla ,Manali ,Mcleodganj ,Dalhousie ",4,Sightseeing Adventure Temple Hill station Churches Nature ,3,36044,32800,9
417,Have A Fantastic Tawang Trip Full Of Joy,6,5,Bhalukpong,"Bhalukpong ,Dirang ,Tawang ,Bomdila ",4,Sightseeing Adventure Nature Private  Transfers Historical ,3,35714,32500,9
418,Top-Ranked Kanyakumari Sightseeing Package,3,2,Kanyakumari,Kanyakumari ,1,Adventure Adventure  Activities Religioustemples Sightseeing Budget,2,10323,9394,9
419,Spiritual Char ham Yatra Package,11,10,Haridwar,"Haridwar ,Barkot ,Uttarkashi ,Sitapur ,Badrinath ",5,Sightseeing Adventure City  Tour Hill station Religious  ,2,20769,18900,9
420,Exhilarating Auli Tour Package,3,2,Auli,Auli ,1,Scenic road trips Cable  Car  Ride Auli lake Nature ,2,14583,13125,10
421,Best Kasol   Tour Package,3,2,Kasol,Kasol ,1,Trekking Nature walks Nature Parvati  River Adventure ,3,21505,20000,7
422,Sensational Leh Honeymoon,13,12,Leh,"Leh ,Nubra Valley ,Pangong ,Jispa ,Kaza ,Chandra Tal ,Manali ",7,Hill station Adventure Nature Religious Romantic Sightseeing ,3,63231,57540,9
423,Blissful Shimla Tour Package,4,3,Shimla,Shimla ,1,Sightseeing Hill station Overnight  Journey Adventure Nature ,2,13930,12816,8
424,Mysore: A Culturally Rich City,3,2,Mysore,Mysore ,1,Breakfast Hill station Sightseeing Adventure Mysore  Palace ,3,14076,12809,9
425,A Revitalizing Tamil adu Tour Package,4,3,Ooty,Ooty ,1,Nature Adventure Spiritual Sightseeing Hill station Historical ,3,16758,15250,9
426,Leh Ladakh   Trip Package,5,4,Leh,"Leh ,Nubra Valley ,Pangong ",3,Khardungla  Pass Adventure Camel  Ride Nature ,3,22825,20999,8
427,Ravishing Rishikesh Tour Package,2,1,Rishikesh,Rishikesh ,1,Himalayas Adventure Sightseeing Nature Religious sites Hill station ,3,7500,6825,9
428,Mind Blowing Shillong Honeymoon,3,2,Shillong,Shillong ,1,Shillong Water  Activities  Mawlynnong  Village Sightseeing ,3,13736,12500,9
429,Offbeat Leh Ladakh Tour Package,10,9,Leh,"Leh ,Alchi ,Pangong ,Nubra Valley ,Tsomoriri ",5,Nature Offbeat Adventure Hill station Ideal for friends Religious ,3,44943,39999,11
430,Alluring Jaisalmer Tour Package,4,3,Jaisalmer,"Jaisalmer ,Bikaner ",2,Historical  Sightseeing Historical Desert  Safari Religious ,3,19662,17499,11
431,Enchanting Leh Ladakh Family Tour Package,8,7,Srinagar,"Srinagar ,Kargil ,Leh ,Pangong ,Nubra Valley ",5,Himalayas Nature Road  Trip Adventure Houseboat  ,4,48102,44999,6
432,Guwahati Trip Package,3,2,Guwahati,Guwahati ,1,Guwahati Nature Kamakhya  Devi  Temple Hill station ,3,12636,11499,9
433,Romantic Jammu Kashmir Honeymoon,9,8,Katra,"Katra ,Pahalgam ,Srinagar ,Gulmarg ",4,Vaishno  Devi Night at  Houseboat Nature Gondola  ,2,24693,21999,11
434,Enriching Kochi Munnar Family Tour Package,4,3,Cochin,"Cochin ,Munnar ",2,Adventure Ayurvedic Hills Nature Tea gardens Hill station ,3,14332,12899,10
435,ivine haramshala Honeymoon,5,4,Dharamshala,"Dharamshala ,Dalhousie ",2,  Arrival Hill station Sightseeing Religious Leisure  ,3,14945,13600,9
436,Kerala Weekend Special: Kumarakom Backwaters & Munnar Hills,4,3,Munnar,"Munnar ,Kumarakom ",2,Ideal for couples Nature Houseboat  Stay Cruises Wildlifelandscape ,3,12214,12092,1
437,An Enthralling Jodhpur Sightseeing Tour Package,4,3,Jodhpur,"Jodhpur ,Jaisalmer ",2,Jaisalmer Adventure Jodhpur Nature Sightseeing Desert  ,2,10989,10000,9
438,Blissful Kashmir Honeymoon,7,6,Srinagar,"Srinagar ,Pahalgam ,Gulmarg ",3,Adventure Houseboat  Stay Nature Shikara  Ride ,2,24444,22000,10
439,Scenic Gangtok Tour Package,4,3,Gangtok,Gangtok ,1,Waterfalls Wildlife Hill  Station Adventure Natureshopping ,2,30815,27117,12
440,Breathtaking Ladakh Family Package,10,9,Srinagar,"Srinagar ,Kargil ,Leh ,Nubra Valley ,Pangong ,sarchu ,Manali ",7,Shikara  Ride Religious Drass Historical Rohtang  ,2,69999,62999,10
441,Most-Exclusive Jaipur   Tour Package,3,2,Jaipur,Jaipur ,1,National  Monument Adventure Amber  Fort Nature ,4,12765,11999,6
442,A Family Getaway To The Hills Of Himachal,5,4,Shimla,"Shimla ,Sarahan ,Chitkul ,Narkanda ",4,Kamru  Fort Historical Bhimkali  Temple Adventure ,3,25996,23656,9
443,elightful Mount Abu Family Package,2,1,Mount Abu,Mount Abu ,1,Hill  Station Historical Mount  Abu Nature ,3,5494,5000,9
444,Kerala is a Land of Wonders,7,6,Kochi,"Kochi ,Munnar ,Thekkady ,Kovalam ",4,Family  Special Wildlife Natural  Beauty Nature ,3,22988,20000,13
445,Bewitching Pelling Tour Package,2,1,Pelling,Pelling ,1,Sightseeing Nature Kechopari  Lake Cultural Kanchenjunga  ,3,15995,14875,7
446,Top-Selling Amritsar   Package,3,2,Amritsar,Amritsar ,1,Golden  Temple Nature Museum Religious Sightseeing ,3,21739,20000,8
447,Exciting Kanyakumari-Kovalam Family Tour Package,4,3,Kovalam,"Kovalam ,Kanyakumari ",2,Beach  Vacation Water  Activities City  Tour ,3,13068,11500,12
448,Elegant Srinagar Tour Package,2,1,Srinagar,Srinagar ,1,Himalayas Nature Hill station Shikara  Ride Sightseeing ,4,20225,18000,11
449,Idyllic haramshala Family Package,6,5,Dharamshala,"Dharamshala ,Dalhousie ,Amritsar ",3,Hills Hill station Nature Water  Activities Dalai  ,3,25714,23400,9
450,Adventurous Assam Tour Package,3,2,Kaziranga National Park,Kaziranga National Park ,1,Kaziranga  National  Park Adventure Elephant  Ride ,3,15730,14000,11
451,Picturesque Ranikhet Honeymoon,4,3,Nainital,"Nainital ,Ranikhet ,Kausani ",3,Kainchi  Dham Romantic Chaubatia  Gardens Sightseeing ,2,15000,13650,9
452,Gleeful Rann Of Kutch Tour Package,5,4,Bhuj,"Bhuj ,Kutch ",2,Sightseeing Adventure Religious Desert  Safarimuseums Cultural  ,3,22087,20099,9
453,Vivid Orissa Tour Package,3,2,Bhubaneshwar,"Bhubaneshwar ,Bhubaneswar ",2,Temple Adventure Lake Historical Culture Nature ,2,13000,11700,10
454,Lonavala Tour Package,4,3,Matheran,"Matheran ,Lonavala ,Khandala ",3,Hills Hill station Lake Historical Echo  Pointlandscape ,3,15714,14300,9
455,    Manali Tour Package,5,4,Manali,Manali ,1,Manali Nature Rohtang  Pass Adventure Solang  ,3,33230,30239,9
456,Best Udupi Sightseeing Tour Package,3,2,Udupi,Udupi ,1,Temple Religious Statues Historical Sightseeing Budget,3,11797,10735,9
457,Top-Selling Karnataka Package,2,1,Mysore,"Mysore ,Bangalore ",2,Scenic views Nature Temple Hill station Sightseeing Budget,4,15086,14030,7
458,Irresistible Leh Honeymoon,9,8,Leh,"Leh ,Nubra Valley ,Pangong ,Tsomoriri ",4,Adventure Nature Hill station Cultural Camping Trekking ,3,47252,42999,9
459,Explore The True Tradition Of Gujarat,3,2,Bhuj,Bhuj ,1,Sightseeing Rann of  Kutch Historical Religiousmuseums Budget,3,13846,12600,9
460,Ultimate Uttarakhand Tour Package,8,7,Nainital,"Nainital ,Almora ,Kausani ,Jim Corbett ",4,Religious Naina  Devi  Temple Nature Hill station ,2,33156,30449,8
461,ynamic Orissa Tour Package,5,4,Bhubaneshwar,"Bhubaneshwar ,Puri ",2,Sightseeing Historical Nature Religious Temple  Tour ,2,14318,12600,12
462,Intimate Summer Special Shimla Honeymoon,5,4,Shimla,Shimla ,1,Nature  Park Water  Activities Adventure Shopping ,3,41775,38015,9
463,Scintillating orth East Tour Package,6,5,Bhalukpong,"Bhalukpong ,Dirang ,Tawang ,Bomdila ",4,River  Rafting Adventure Sela  Lake Religious ,2,25568,22500,12
464,Best     warka Tour Package,5,4,Ahmedabad,"Ahmedabad ,Dwarka ,Veraval ,Somnath ",4,Sightseeing Gandhi  Ashram Hutheesing  Jain  Temple ,3,17741,16499,7
465,elhi: The Heart of India,6,5,New Delhi,"New Delhi ,Agra ",2,Red  Fort Historical Mathura  Temple Sightseeing ,3,14285,12999,9
466,Rameshwaram Tour Package,2,1,Rameshwaram,Rameshwaram ,1,Sightseeing Adventure Temple Nature Watersports Historical ,3,12535,11407,9
467,Alluring Gujarat family Package,5,4,Dwarka,"Dwarka ,Somnath ,Ahmedabad ",3,Lakhota  Lake Nature Bala  Hanuman  Temple ,3,16593,15100,9
468,Mysore Tour Package,2,1,Mysore,Mysore ,1,Nature Adventure Historical Budget,2,7138,6710,6
469,Tempting Tirupati Tour Package,3,2,Chennai,"Chennai ,Tirupati ",2,Ideal for pilgrims Religious Marina  Beach Historical Sri  ,2,14747,13420,9
470,Uttarakhand: A Gem To Be Explored,4,3,Jim Corbett,"Jim Corbett ,Nainital ",2,Adventure Best sellers Nature Wildlife Hills Group package ,2,16153,14999,7
471,Enchanting Meghalaya Tour Package,3,2,Shillong,Shillong ,1,Sightseeing Nature City  Tour Hill station Lakes ,3,13585,12498,8
472,Munnar Tour Package,3,2,Munnar,Munnar ,1,Gardens Adventure Waterfalls Nature Culture Sightseeing ,3,7526,6999,7
473,Wonderful Goa Family Package,3,2,Calangute,"Calangute ,Goa ",2,Beach Water  Activities Jeep  Safari Nature ,3,19318,17000,12
474,Unique Guwahati Sightseeing Tour Package,3,2,Guwahati,Guwahati ,1,Sightseeing Nature Adventure Scenic  Landscapes Hill station ,3,13736,12500,9
475,An Exhilarating Haridwar Mussoorie Tour Package,3,2,Haridwar,"Haridwar ,Mussoorie ",2,Haridwar City  Tour Sightseeing Nature Hill station ,3,10961,9975,9
476,Spellbinding Meghalaya Tour Package,6,5,Shillong,"Shillong ,Cherrapunjee ,Guwahati ",3,Nature Lake Temples Hill station Waterfalls  Water  ,3,35714,32500,9
477,Religious Jammu Kashmir Tour Package,7,6,Katra,"Katra ,Srinagar ,Gulmarg ,Pahalgam ,Jammu ",5,Nehru  Park Nature Zorbing Religious Pony  ,2,24043,22300,7
478,Phenomenal Honeymoon,6,5,Kasol,"Kasol ,Kheerganga ,Tosh ",3,Sightseeing Best sellers Camping Adventure Ideal for couples Nature ,3,28480,25632,10
479,Best Of Jammu Kashmir Family Package,10,9,Katra,"Katra ,Pahalgam ,Srinagar ,Gulmarg ",4,Vaishno  Devi Nature Night in  Houseboat Religious ,2,35743,32000,10
480,Budget Friendly Jim Corbett Package,4,3,Jim Corbett,"Jim Corbett ,Nainital ",2,Sightseeing Jeep  Safari Adventure Nature Wildlife,4,25384,23099,9
481,Best Goa   Trip For A Rememberable Trip,5,4,Goa,Goa ,1,City  Tour Nature Watersports Adventure Beaches ,3,14893,13999,6
482,Vibrant Gujarat Family Package,6,5,Jamnagar,"Jamnagar ,Dwarka ,Veraval ,Sasan Gir ,Diu ",5,Museum Morning  Aarti Jungle  Safari Wildlife ,3,23406,21299,9
483,Splendid Rameshwaram Tour Package,3,2,Rameshwaram,Rameshwaram ,1,Road  Trip Temple visit Nature Rameshwaram  Temple ,4,14076,12809,9
484,elightful Ooty Holiday Package,5,4,Coorg,"Coorg , Ootacamund ",2,Sightseeing Adventure Mudumalai  National  Park Nature ,3,18715,16469,12
485,Cheerful Cherrapunji Tour Package,4,3,Shillong,"Shillong ,Cherrapunjee ",2,Sightseeing Nature Waterfalls Hill station Lakes Budget,3,17032,15499,9
486,Incredible Rajasthan Tour Package,5,4,Udaipur,"Udaipur ,Kumbhalgarh ,Chittorgarh ",3,Family Historical Sightseeing Forts Boating Nature ,2,11413,10500,8
487,Religious Haridwar Tour Package,3,2,Rishikesh,"Rishikesh ,Haridwar ",2,Daksh  Temple Pawan  Dham Mansa  Devi  ,3,8653,7874,9
488,Choose From Our Best Selling Gorgeous Goa Tour Plan For  ,6,5,Goa,Goa ,1,Adventure Water  Activities Beach,4,33548,31200,7
489,Fantastic Orissa Tour Package,5,4,Bhubaneshwar,"Bhubaneshwar ,Puri ,Bhubaneswar ",3,Sun  Temple Historical Shopping Nature Temple ,2,16363,14399,12
490,Alluring Kashmir Family Tour Package,9,8,Srinagar,"Srinagar ,Gulmarg ,Sonmarg ,Pahalgam ",4,Night in  Houseboat Adventure Gondola  Ride Nature ,3,38812,35000,10
491,Exuberant Arunachal Pradesh Tour Package,8,7,Kaziranga,"Kaziranga ,Bhalukpong ,Dirang ,Tawang ,Bomdila ",5,Bomdila  View  Point Adventure Sightseeing Lakes ,2,42307,38499,9
492,Unique Leh-Ladakh Tour Package,10,9,Srinagar,"Srinagar ,Kargil ,Leh ,Chuchot Village ,Nubra Valley ,Pangong ",6,Offbeat Nature Homestay Adventure Chuchot  Village ,4,52746,47999,9
493,Captivating Tawang Tour Package,7,6,Bhalukpong,"Bhalukpong ,Dirang ,Tawang ,Bomdila ,Tezpur ",5,Sela pass Hill station Dirang  Dzong Adventure Tawang  ,3,39010,35499,9
494,Stunning Pelling Tour Package,2,1,Pelling,Pelling ,1,Khecheopalri  Lake Hill station Kanchenjunga  Waterfalls Waterfall ,3,16169,14875,8
495,Best   Port Blair Tour Package,6,5,Port Blair,Port Blair ,1,Cellular  Jail  Adventure Port Northbay Beach ,3,25110,22850,9
496,Breathtaking warka Sightseeing Tour Package,5,4,Dwarka,"Dwarka ,Veraval ,Ahmedabad ",3,Dwarka  Temples Adventure Kirti  Mandir Nature ,3,20862,18984,9
497,elightful Munnar Thekkady Kerala Family Package,6,5,Munnar,"Munnar ,Thekkady ,Alleppey ",3,Jungle  Safari Nature Adventure Hill station Sightseeing ,3,20787,18500,11
498,Exciting Mussoorie Tour Package,5,4,Mussoorie,"Mussoorie ,Rishikesh ,Haridwar ",3,Temple  Tour Adventure Local sightseeing Hill station Religious ,3,49038,44625,9
499,Premium Kashmir Family Package,8,7,Pahalgam,"Pahalgam ,Srinagar ,Gulmarg ",3,Patnitop Adventure River  Rafting Nature Shikara  ,2,32746,31000,5
500,An Enjoyable Shillong Honeymoon,3,2,Shillong,Shillong ,1,Kamakhya  Temple Water  Activities Shillong Sightseeing ,3,18131,16499,9
501,Exciting Haridwar And Rishikesh Package,3,2,Rishikesh,"Rishikesh ,Haridwar ",2,Historical  Sightseeing Adventure Camping Nature Temple  ,3,11290,10500,7
502,Spellbinding Guwahati Tour Package,3,2,Guwahati,Guwahati ,1,Sightseeing Adventure Temples Nature Zoo Hill stationshopping ,3,13736,12500,9
503,Excellent agaland Honeymoon,6,5,Dimapur,"Dimapur ,Kohima ",2,Dimapur Adventure Kohima Nature Tuophema Hill station ,3,39010,35499,9
504,Best Golden Triangle Tour Package,6,5,Agra,"Agra ,New Delhi ,Amritsar ",3,Adventure Nature Religious Golden  Temple Budget,3,50537,46999,7
